# Auto-generated by scripts/annotate_regions.py — DO NOT EDIT BY HAND.
# See src/data/syntactic_regions.py for the annotation scheme.
story	item_id	region	zone_start	zone_end	note
1	s1_relcl_19	onset	16	16	RC head `valley`
1	s1_relcl_19	disambig	19	19	RC verb `surrounded`
1	s1_relcl_48	onset	44	44	RC head `jennies`
1	s1_relcl_48	disambig	46	46	RC verb `hummed`
1	s1_relcl_51	onset	36	36	RC head `city`
1	s1_relcl_51	disambig	49	49	RC verb `spun`
1	s1_relcl_125	onset	106	106	RC head `Crest`
1	s1_relcl_125	disambig	117	117	RC verb `created`
1	s1_relcl_176	onset	159	159	RC head `boar`
1	s1_relcl_176	disambig	161	161	RC verb `lived`
1	s1_relcl_228	onset	206	206	RC head `well`
1	s1_relcl_228	disambig	208	208	RC verb `was`
1	s1_relcl_296	onset	262	262	RC head `Lord`
1	s1_relcl_296	disambig	271	271	RC verb `asked`
1	s1_relcl_310	onset	281	281	RC head `problem`
1	s1_relcl_310	disambig	284	284	RC verb `faced`
1	s1_relcl_356	onset	326	326	RC head `people`
1	s1_relcl_356	disambig	328	328	RC verb `knew`
1	s1_relcl_412	onset	376	376	RC head `huntsman`
1	s1_relcl_412	disambig	378	378	RC verb `was`
1	s1_relcl_420	onset	376	376	RC head `huntsman`
1	s1_relcl_420	disambig	385	385	RC verb `decided`
1	s1_relcl_540	onset	488	488	RC head `way`
1	s1_relcl_540	disambig	490	490	RC verb `carry`
1	s1_relcl_567	onset	512	512	RC head `huntsman`
1	s1_relcl_567	disambig	514	514	RC verb `was`
1	s1_relcl_722	onset	648	648	RC head `prize`
1	s1_relcl_722	disambig	650	650	RC verb `awaited`
1	s1_relcl_966	onset	839	839	RC head `boar`
1	s1_relcl_966	disambig	844	844	RC verb `dreaded`
1	s1_relcl_977	onset	850	850	RC head `man`
1	s1_relcl_977	disambig	853	853	RC verb `stood`
1	s1_relcl_1038	onset	895	895	RC head `tongue`
1	s1_relcl_1038	disambig	898	898	RC verb `put`
1	s1_relcl_1180	onset	1029	1029	RC head `huntsman`
1	s1_relcl_1180	disambig	1032	1032	RC verb `earned`
1	s1_redrel_180	onset	164	164	RR head `wood`
1	s1_redrel_180	disambig	165	165	RR participle `located`
1	s1_redrel_477	onset	433	433	RR head `boar`
1	s1_redrel_477	disambig	434	434	RR participle `feared`
1	s1_redrel_903	onset	794	794	RR head `huntsman`
1	s1_redrel_903	disambig	795	795	RR participle `questioned`
1	s1_redrel_1199	onset	1043	1043	RR head `piece`
1	s1_redrel_1199	disambig	1050	1050	RR participle `known`
1	s1_nps_132	onset	128	128	NP/S onset `head` under `shows`
1	s1_nps_132	disambig	129	129	NP/S disambig `sitting`
1	s1_nps_312	onset	288	288	NP/S onset `contest` under `suggested`
1	s1_nps_312	disambig	290	290	NP/S disambig `solve`
1	s1_nps_420	onset	387	387	NP/S onset `prize` under `decided`
1	s1_nps_420	disambig	388	388	NP/S disambig `was`
1	s1_nps_587	onset	530	530	NP/S onset `I` under `prove`
1	s1_nps_587	disambig	531	531	NP/S disambig `killed`
1	s1_nps_679	onset	613	613	NP/S onset `shortcut` under `knew`
1	s1_nps_679	disambig	618	618	NP/S disambig `was`
1	s1_nps_850	onset	756	756	NP/S onset `tongue` under `noticed`
1	s1_nps_850	disambig	761	761	NP/S disambig `missing`
1	s1_nps_922	onset	811	811	NP/S onset `situation` under `realizing`
1	s1_nps_922	disambig	813	813	NP/S disambig `end`
1	s1_nps_990	onset	858	858	NP/S onset `reward` under `said`
1	s1_nps_990	disambig	861	861	NP/S disambig `given`
1	s1_nps_1107	onset	967	967	NP/S onset `huntsman` under `saw`
1	s1_nps_1107	disambig	969	969	NP/S disambig `fed`
1	s1_nps_1135	onset	993	993	NP/S onset `huntsman` under `believed`
1	s1_nps_1135	disambig	995	995	NP/S disambig `tried`
1	s1_ctrl_on_0	control	2	2	control NOUN `you`
1	s1_ctrl_on_1	control	8	8	control NOUN `North`
1	s1_ctrl_on_2	control	10	10	control NOUN `England`
1	s1_ctrl_on_3	control	11	11	control NOUN `you`
1	s1_ctrl_on_4	control	17	17	control NOUN `that`
